iter	Passed	Remaining
0	1	165
1	3	154
2	4	149
3	5	143
4	7	147
5	9	143
6	10	140
7	12	138
8	13	136
9	14	134
10	16	137
11	18	136
12	19	133
13	21	132
14	23	135
15	25	133
16	27	132
17	28	131
18	30	129
19	32	128
20	33	126
21	35	124
22	36	123
23	39	125
24	41	123
25	42	122
26	44	120
27	46	118
28	47	116
29	49	114
30	50	112
31	52	111
32	53	109
33	55	107
34	56	105
35	58	103
36	59	101
37	61	100
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	76	79
49	78	78
50	79	76
51	81	74
52	83	74
53	85	72
54	86	70
55	87	68
56	88	67
57	90	65
58	91	63
59	93	62
60	94	60
61	96	58
62	97	57
63	99	55
64	100	54
65	102	52
66	103	51
67	105	49
68	106	47
69	107	46
70	109	44
71	110	43
72	112	41
73	114	40
74	115	38
75	117	37
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	125	27
82	126	25
83	128	24
84	130	22
85	131	21
86	132	19
87	134	18
88	135	16
89	137	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	152	0
